Drag Name,Real Name,Age,Hometown,Season,Finish
Madame LaQueer,,29,"Carolina, Puerto Rico",4,10th
Milan,,36,"Florence, South Carolina",4,9th
Jiggly Caliente,,30,"Queens, New York",4,8th
Willam,Willam Belli,29,"Los Angeles, California",4,7th
DiDa Ritz,,25,"Chicago, Illinois",4,6th
Kenya Michaels,,21,"Dorado, Puerto Rico",4,5th
Latrice Royale,Timothy Wilcots,39,"South Beach, Florida",4,4th
Phi Phi O'Hara,Jaremi Carey,25,"Chicago, Illinois",4,Runner-up4
Chad Michaels,Chad Michaels,40,"San Diego, California",4,Runner-up4
Sharon Needles,Aaron Coady,29,"Pittsburgh, Pennsylvania",4,Winner
Penny Tration,,39,"Cincinnati, Ohio",5,14th
Serena ChaCha,,21,"Tallahassee, Florida",5,13th
Monica Beverly Hillz,Juan DeJesus Anaya,27,"Owensboro, Kentucky",5,12th
Honey Mahogany,Alpha Mulugeta,29,"San Francisco, California",5,10th/11th5
Vivienne Pinay,,26,"New York, New York",5,10th/11th5
Lineysha Sparx,Andy Trinidad,24,"San Juan, Puerto Rico",5,9th
Jade Jolie,,25,"Gainesville, Florida",5,8th
Ivy Winters,Dustin Winters,26,"New York, New York",5,7th
Alyssa Edwards,Justin Johnson,32,"Mesquite, Texas",5,6th
Coco Montrese,Martin Cooper,37,"Las Vegas, Nevada",5,5th
Detox,Matthew Sanderson,27,"Los Angeles, California",5,4th
Roxxxy Andrews,Michael Feliciano,28,"Orlando, Florida",5,Runner-up4
Alaska,Justin Honard,27,"Pittsburgh, Pennsylvania",5,Runner-up4
Jinkx Monsoon,Jerick Hoffer,24,"Seattle, Washington",5,Winner
Kelly Mantle,Kelly Mantle,37,"Los Angeles, California",6,14th
Magnolia Crawford,,27,"Seattle, Washington",6,13th
Vivacious,,40,"New York, New York",6,12th
April Carrión,,24,"Guaynabo, Puerto Rico",6,11th
Gia Gunn,,23,"Chicago, Illinois",6,10th
Milk,,25,"New York, New York",6,9th
Laganja Estranja,Jay Jackson,24,"Van Nuys, California",6,8th
Trinity K. Bonet,,22,"Atlanta, Georgia",6,7th
Joslyn Fox,,26,"Worcester, Massachusetts",6,6th
BenDeLaCreme,Benjamin Putnam,31,"Seattle, Washington",6,5th
Darienne Lake,,41,"Rochester, New York",6,4th
Courtney Act,Shane Jenek,31,"West Hollywood, California",6,Runner-up4
Adore Delano,Danny Noriega,23,"Azusa, California",6,Runner-up4
Bianca Del Rio,Roy Haylock,36,"New Orleans, Louisiana",6,Winner
Tempest DuJour,,46,"Tucson, Arizona",7,14th
Sasha Belle,,28,"Iowa City, Iowa",7,13th
Jasmine Masters,,37,"Los Angeles, California",7,12th
Mrs. Kasha Davis,,43,"Rochester, New York",7,11th
Kandy Ho,,28,"Cayey, Puerto Rico",7,10th
Max,,22,"Hudson, Wisconsin",7,9th
Jaidynn Diore Fierce,,25,"Nashville, Tennessee",7,8th
Miss Fame,Kurtis Dam-Mikkelsen,29,"New York, New York",7,7th
Trixie Mattel,Brian Firkus,26,"Milwaukee, Wisconsin",7,6th
Katya,Brian McCook,32,"Boston, Massachusetts",7,5th
Kennedy Davenport,,33,"Dallas, Texas",7,4th
Pearl,Matthew James Lent,23,"Brooklyn, New York",7,Runner-up4
Ginger Minj,Joshua Eads-Brown,29,"Orlando, Florida",7,Runner-up4
Violet Chachki,Jason Dardo,22,"Atlanta, Georgia",7,Winner
Laila McQueen,Tyler Devlin,22,"Gloucester, Massachusetts",8,11th/12th7
Dax ExclamationPoint,Dax Martin,31,"Savannah, Georgia",8,11th/12th7
Cynthia Lee Fontaine,Carlos Hernández,34,"Austin, Texas",8,10th
Naysha Lopez,Fabian Rodriguez,31,"Chicago, Illinois",8,9th
Acid Betty,Jamin Ruhren,37,"Brooklyn, New York",8,8th
Robbie Turner,Jeremy Baird,33,"Seattle, Washington",8,7th
Thorgy Thor,Shane Galligan,31,"Brooklyn, New York",8,6th
Derrick Barry,Derrick Barry,32,"Las Vegas, Nevada",8,5th
Chi Chi DeVayne,Zavion Davenport,30,"Shreveport, Louisiana",8,4th
Naomi Smalls,Davis Heppenstall,21,"Redlands, California",8,Runner-up4
Kim Chi,Sang-young Shin,27,"Chicago, Illinois",8,Runner-up4
Bob the Drag Queen,Christopher Caldwell,29,"Brooklyn, New York",8,Winner
Jaymes Mansfield,James Wirth,26,"Madison, Wisconsin",9,14th
Kimora Blac,Von Nguyen,28,"Las Vegas, Nevada",9,13th
Charlie Hides,Charlie Hides,52,"London, UK",9,12th
Eureka O'Hara,David Huggard,25,"Johnson City, Tennessee",9,11th
Cynthia Lee Fontaine,Carlos Hernandez,34,"Austin, Texas",9,10th
Aja,Jay Rivera,22,"Brooklyn, New York",9,9th
Farrah Moan,Cameron Clayton,23,"Las Vegas, Nevada",9,8th
Valentina,James Andrew Leyva,25,"Los Angeles, California",9,7th
Nina Bo'nina Brown,Pierre Laverne Dease,34,"Atlanta, Georgia",9,6th
Alexis Michelle,Alex Michaels,33,"New York, New York",9,5th
Trinity Taylor,Ryan Taylor,31,"Orlando, Florida",9,3rd/4th
Shea Couleé,Jaren Merrell,27,"Chicago, Illinois",9,3rd/4th
Peppermint,Agnes Moore,37,"New York, New York",9,Runner-up
Sasha Velour,Sasha Steinberg,29,"Brooklyn, New York",9,Winner
